2018/12/24 星期一 15:17:39	正在加载配置,请稍等...
2018/12/24 星期一 15:27:57	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:27:58	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 15:27:58	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:27:58	[任务5]快速出票安全期,等待2749ms

2018/12/24 星期一 15:28:01	[任务5]余票不足！

2018/12/24 星期一 15:28:01	[返回无票]该数据为缓存,将G1012车次放入小黑屋180秒...

2018/12/24 星期一 15:28:01	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:30:49	开始预订G1014次列车车票...

2018/12/24 星期一 15:30:49	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:30:49	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:30:50	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:30:50	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:30:50	[任务5]快速出票安全期,等待2443ms

2018/12/24 星期一 15:30:53	[任务5]余票不足！

2018/12/24 星期一 15:30:53	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:30:53	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:31:03	开始预订G1012次列车车票...

2018/12/24 星期一 15:31:03	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:31:03	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:31:04	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 15:31:04	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:31:04	[任务5]快速出票安全期,等待1560ms

2018/12/24 星期一 15:31:05	[任务5]余票不足！

2018/12/24 星期一 15:31:05	[返回无票]该数据为缓存,将G1012车次放入小黑屋240秒...

2018/12/24 星期一 15:31:05	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:33:15	开始预订G1014次列车车票...

2018/12/24 星期一 15:33:15	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:33:15	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:33:16	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:33:16	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:33:16	[任务5]快速出票安全期,等待1873ms

2018/12/24 星期一 15:33:19	[任务5]余票不足！

2018/12/24 星期一 15:33:19	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:33:19	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:34:40	开始预订G1014次列车车票...

2018/12/24 星期一 15:34:40	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:34:40	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:34:41	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:34:41	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:34:41	[任务5]快速出票安全期,等待2445ms

2018/12/24 星期一 15:34:43	[任务5]余票不足！

2018/12/24 星期一 15:34:43	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2018/12/24 星期一 15:34:43	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:39:28	开始预订G1014次列车车票...

2018/12/24 星期一 15:39:28	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:39:28	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:39:29	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:39:29	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:39:29	[任务5]快速出票安全期,等待2127ms

2018/12/24 星期一 15:39:32	[任务5]余票不足！

2018/12/24 星期一 15:39:32	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:39:32	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:40:53	开始预订G1014次列车车票...

2018/12/24 星期一 15:40:53	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:40:53	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:40:54	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:40:54	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:40:54	[任务5]快速出票安全期,等待3380ms

2018/12/24 星期一 15:40:57	[任务5]余票不足！

