2019/1/16 星期三 18:41:12	正在初始化...已完成
2019/1/16 星期三 18:53:58	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 18:53:58	[返回无票]该数据为缓存,将G1010车次放入小黑屋240秒...

2019/1/16 星期三 18:53:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:21:20	开始预订G1014次列车车票...

2019/1/16 星期三 19:21:20	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:21:20	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:21:21	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:21:21	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:21:21	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:22:53	开始预订G1014次列车车票...

2019/1/16 星期三 19:22:53	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:22:53	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:22:54	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:22:54	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:22:54	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:24:49	开始预订G1014次列车车票...

2019/1/16 星期三 19:24:49	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:24:49	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:24:50	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:24:50	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:24:50	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:25:58	开始预订G1014次列车车票...

2019/1/16 星期三 19:25:58	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:25:58	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:25:59	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:25:59	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:25:59	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:27:00	开始预订G1014次列车车票...

2019/1/16 星期三 19:27:00	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:27:00	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:27:01	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:27:01	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:27:01	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:28:43	开始预订G1014次列车车票...

2019/1/16 星期三 19:28:43	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:28:43	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:28:44	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:28:44	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/16 星期三 19:28:44	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:57:23	开始预订G1018次列车车票...

2019/1/16 星期三 19:57:23	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:57:23	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:57:23	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:57:23	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/16 星期三 19:57:23	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 19:59:30	开始预订G1018次列车车票...

2019/1/16 星期三 19:59:30	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 19:59:30	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 19:59:32	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 19:59:32	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/16 星期三 19:59:32	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:01:43	开始预订G1018次列车车票...

2019/1/16 星期三 20:01:43	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:01:43	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:01:44	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:01:44	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/16 星期三 20:01:44	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:20:13	开始预订G1010次列车车票...

2019/1/16 星期三 20:20:13	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:20:13	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:20:13	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:20:13	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 20:20:14	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:22:46	开始预订G1010次列车车票...

2019/1/16 星期三 20:22:46	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:22:46	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:22:47	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:22:47	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 20:22:47	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:25:05	开始预订G1010次列车车票...

2019/1/16 星期三 20:25:05	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:25:05	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:25:06	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:25:06	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 20:25:06	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:32:09	开始预订G1028次列车车票...

2019/1/16 星期三 20:32:09	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:32:09	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:32:11	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 20:32:11	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 20:32:11	[任务5]快速出票安全期,等待1865ms

2019/1/16 星期三 20:32:13	[提交成功]等待处理,本次用时:4.33秒

2019/1/16 星期三 20:32:16	[获取结果]12306:没有足够的票!

2019/1/16 星期三 20:32:16	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/16 星期三 20:32:16	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:32:48	开始预订G826次列车车票...

2019/1/16 星期三 20:32:48	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:32:48	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:32:48	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:32:48	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/16 星期三 20:32:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:33:34	开始预订G1028次列车车票...

2019/1/16 星期三 20:33:34	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:33:34	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:33:36	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 20:33:36	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 20:33:36	[任务5]快速出票安全期,等待3126ms

2019/1/16 星期三 20:33:39	[提交成功]等待处理,本次用时:4.84秒

2019/1/16 星期三 20:33:41	[获取结果]12306:没有足够的票!

2019/1/16 星期三 20:33:41	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/16 星期三 20:33:41	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:33:57	开始预订G826次列车车票...

2019/1/16 星期三 20:33:57	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:33:57	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:33:57	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:33:57	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/16 星期三 20:33:57	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:35:34	开始预订G826次列车车票...

2019/1/16 星期三 20:35:34	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:35:34	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:35:34	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:35:34	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/16 星期三 20:35:34	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:35:36	开始预订G1028次列车车票...

2019/1/16 星期三 20:35:36	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:35:36	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:35:38	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 20:35:38	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 20:35:38	[任务5]快速出票安全期,等待3066ms

2019/1/16 星期三 20:35:42	[提交成功]等待处理,本次用时:6.51秒

2019/1/16 星期三 20:35:44	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/16 星期三 20:35:46	[12306]服务器处理中，正在排队，请耐心等待...

2019/1/16 星期三 20:35:49	[获取结果]12306:没有足够的票!

2019/1/16 星期三 20:35:49	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/16 星期三 20:35:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:36:49	开始预订G826次列车车票...

2019/1/16 星期三 20:36:49	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:36:49	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:36:50	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:36:50	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/16 星期三 20:36:50	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:36:55	开始预订G1028次列车车票...

2019/1/16 星期三 20:36:55	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:36:55	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:36:56	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 20:36:56	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 20:36:56	[任务5]快速出票安全期,等待2058ms

2019/1/16 星期三 20:36:59	[提交成功]等待处理,本次用时:3.06秒

2019/1/16 星期三 20:37:00	[获取结果]12306:没有足够的票!

2019/1/16 星期三 20:37:00	[返回无票]该数据为缓存,将G1028车次放入小黑屋120秒...

2019/1/16 星期三 20:37:00	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 20:38:07	开始预订G826次列车车票...

2019/1/16 星期三 20:38:07	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 20:38:07	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 20:38:08	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 20:38:08	[返回无票]该数据为缓存,将G826车次放入小黑屋180秒...

2019/1/16 星期三 20:38:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

